,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
354,santa marta,11.24,-74.2,89.6,70.0,20.0,8.05,CO
355,esperance,-33.87,121.9,50.0,81.0,42.0,12.75,AU
356,karratha,-20.74,116.85,65.79,49.0,9.0,10.16,AU
358,manthani,18.65,79.67,93.51,12.0,0.0,3.24,IN
359,bud,39.45,-86.18,65.17,82.0,90.0,5.86,US
360,lompoc,34.64,-120.46,57.65,82.0,90.0,11.41,US
361,thap than,15.46,99.89,87.89,58.0,87.0,3.22,TH
362,njombe,-9.33,34.77,50.56,93.0,3.0,5.01,TZ
363,vaitape,-16.52,-151.75,80.62,75.0,0.0,24.56,PF
364,kapit,2.02,112.93,73.63,95.0,100.0,0.87,MY
365,puga,21.58,-104.82,78.8,50.0,40.0,4.7,MX
367,northam,51.03,-4.22,57.49,77.0,7.0,18.01,GB
368,vieste,41.88,16.18,70.75,24.0,40.0,10.29,IT
369,markivka,49.52,39.57,50.74,64.0,100.0,3.2,UA
370,haines junction,60.75,-137.51,51.22,47.0,30.0,4.29,CA
372,muravlenko,63.79,74.52,60.12,49.0,100.0,10.16,RU
373,valdivia,-39.81,-73.25,39.2,100.0,90.0,3.36,CL
374,siddharthanagar,27.5,83.45,89.38,31.0,2.0,7.4,NP
375,montalban,44.02,1.35,82.04,51.0,97.0,6.93,FR
376,fairbanks,64.84,-147.72,55.35,46.0,1.0,1.97,US
377,ambilobe,-13.2,49.05,72.32,77.0,0.0,1.45,MG
378,vilani,56.55,26.92,50.81,65.0,62.0,8.57,LV
379,tiarei,-17.53,-149.33,73.18,78.0,20.0,3.36,PF
380,cockburn town,21.46,-71.14,84.2,70.0,40.0,9.17,TC
381,atambua,-9.11,124.89,74.19,91.0,100.0,4.36,ID
382,bilma,18.69,12.92,100.2,18.0,100.0,11.41,NE
383,redondela,42.28,-8.61,68.0,77.0,75.0,11.41,ES
384,thinadhoo,0.53,72.93,85.33,77.0,81.0,16.4,MV
385,svetlyy,54.67,20.13,53.6,58.0,0.0,13.42,RU
386,tomatlan,19.93,-105.25,92.48,38.0,52.0,6.71,MX
387,saint-joseph,-21.37,55.62,68.18,73.0,20.0,21.92,RE
